sim_time,PDU,UPF
0,UE0_pdu0,
0,UE1_pdu0,
0,UE2_pdu0,
0,UE3_pdu0,
0,UE0_pdu0,UPF0
0,UE0_pdu0,
0,UE2_pdu0,UPF0
0,UE2_pdu0,
0,UE1_pdu0,UPF1
0,UE1_pdu0,
0,UE3_pdu0,UPF1
0,UE3_pdu0,
5,UE0_pdu1,
5,UE1_pdu1,
5,UE2_pdu1,
5,UE3_pdu1,
5,UE0_pdu1,UPF2
5,UE0_pdu1,
5,UE2_pdu1,UPF2
5,UE2_pdu1,
5,UE3_pdu1,UPF3
5,UE3_pdu1,
5,UE1_pdu1,UPF3
5,UE1_pdu1,
22,UE0_pdu2,
22,UE1_pdu2,
22,UE2_pdu2,
22,UE3_pdu2,
22,UE0_pdu2,UPF4
22,UE0_pdu2,
22,UE2_pdu2,UPF4
22,UE2_pdu2,
22,UE1_pdu2,UPF5
22,UE1_pdu2,
22,UE3_pdu2,UPF5
22,UE3_pdu2,
33,UE0_pdu3,
33,UE1_pdu3,
33,UE2_pdu3,
33,UE3_pdu3,
33,UE0_pdu3,UPF6
33,UE0_pdu3,
33,UE2_pdu3,UPF6
33,UE2_pdu3,
33,UE1_pdu3,UPF7
33,UE1_pdu3,
33,UE3_pdu3,UPF7
33,UE3_pdu3,
38,UE0_pdu4,
38,UE1_pdu4,
38,UE2_pdu4,
38,UE3_pdu4,
38,UE0_pdu4,UPF8
38,UE0_pdu4,
38,UE3_pdu4,UPF8
38,UE3_pdu4,
38,UE1_pdu4,UPF9
38,UE1_pdu4,
38,UE2_pdu4,UPF9
38,UE2_pdu4,
